delay,freq,condition,textbox.text,,,,,,
0.7,1000,exp,100,,,,,exp mean: ,367.8965517
0.7,1000,exp,400,,,,,unexp mean:,381.8490566
0.1,1000,exp,200,,,,,difference:,13.95250488
0.1,1000,exp,400,,,,,,
0.4,1000,exp,500,,,,,,
0.4,1000,exp,200,,,,,,
0.1,400,unexp,100,7,,,,,
0.7,1000,exp,200,,,,,,
0.1,1000,exp,200,,,,,,
0.4,1000,exp,400,,,,,,
0.4,400,unexp,175,11,,,,,
0.7,400,unexp,205,12,,,,,
0.1,400,unexp,100,13,,,,,
0.7,1000,exp,500,,,,,,
0.1,1000,exp,200,,,,,,
0.7,400,unexp,300,16,,,,,
0.1,1000,exp,400,,,,,,
0.7,1000,exp,500,,,,,,
0.4,1000,exp,200,,,,,,
0.4,1000,exp,400,,,,,,
0.4,1000,exp,400,,,,,,
0.7,1000,exp,700,,,,,,
0.4,400,unexp,158,23,,,,,
0.1,1000,exp,200,,,,,,
0.4,1000,exp,400,,,,,,
0.1,1000,exp,200,,,,,,
0.4,1000,exp,200,,,,,,
0.7,400,unexp,400,28,,,,,
0.7,1000,exp,300,,,,,,
0.1,1000,exp,400,,,,,,
0.7,1000,exp,900,,,,,,
0.1,400,unexp,400,32,,,,,
0.7,1000,exp,700,,,,,,
0.4,1000,exp,200,,,,,,
0.4,400,unexp,400,35,,,,,
0.1,1000,exp,200,,,,,,
0.1,1000,exp,200,,,,,,
0.1,1000,exp,200,,,,,,
0.1,1000,exp,200,,,,,,
0.4,1000,exp,400,,,,,,
0.4,1000,exp,600,,,,,,
0.7,1000,exp,700,,,,,,
0.7,1000,exp,300,,,,,,
0.7,400,unexp,700,44,,,,,
0.1,400,unexp,300,45,,,,,
0.4,400,unexp,500,46,,,,,
0.4,1000,exp,500,,,,,,
0.7,1000,exp,200,,,,,,
0.4,1000,exp,300,,,,,,
0.1,400,unexp,700,50,,,,,
0.4,400,unexp,700,51,,,,,
0.4,1000,exp,200,,,,,,
0.7,1000,exp,400,,,,,,
0.1,1000,exp,700,,,,,,
0.1,1000,exp,200,,,,,,
0.7,1000,exp,400,,,,,,
0.1,1000,exp,700,,,,,,
0.4,1000,exp,"200
",,,,,,
0.7,1000,exp,400,,,,,,
0.7,400,unexp,700,60,,,,,